 ,Area,Mean,Min,Max
464,0.002,255,255,255
465,0.002,255,255,255
466,0.001,255,255,255
467,0.002,255,255,255
468,0.001,255,255,255
469,0.001,255,255,255
470,0.002,255,255,255
471,0.002,255,255,255
472,0.001,255,255,255
473,0.003,255,255,255
474,0.002,255,255,255
475,0.002,255,255,255
476,0.002,255,255,255
477,0.002,255,255,255
478,0.002,255,255,255
479,0.001,255,255,255
480,0.001,255,255,255
481,0.002,255,255,255
482,0.001,255,255,255
483,0.001,255,255,255
484,0.001,255,255,255
485,0.002,255,255,255
486,0.001,255,255,255
487,0.003,255,255,255
488,0.002,255,255,255
489,0.001,255,255,255
490,0.001,255,255,255
491,0.002,255,255,255
492,0.001,255,255,255
493,0.001,255,255,255
494,0.002,255,255,255
495,0.002,255,255,255
496,0.002,255,255,255
497,0.001,255,255,255
498,0.001,255,255,255
499,0.001,255,255,255
500,0.001,255,255,255
501,0.002,255,255,255
502,0.001,255,255,255
503,0.002,255,255,255
504,0.001,255,255,255
505,0.001,255,255,255
506,0.002,255,255,255
507,0.002,255,255,255
508,0.003,255,255,255
509,0.002,255,255,255
510,0.002,255,255,255
511,0.002,255,255,255
512,0.002,255,255,255
513,0.002,255,255,255
514,0.001,255,255,255
515,0.001,255,255,255
516,0.001,255,255,255
517,0.002,255,255,255
518,0.001,255,255,255
519,0.001,255,255,255
520,0.001,255,255,255
521,0.002,255,255,255
522,0.001,255,255,255
523,0.002,255,255,255
524,0.001,255,255,255
525,0.002,255,255,255
526,0.001,255,255,255
527,0.001,255,255,255
528,0.002,255,255,255
529,0.002,255,255,255
530,0.002,255,255,255
531,0.001,255,255,255
532,0.001,255,255,255
533,0.001,255,255,255
534,0.001,255,255,255
535,0.001,255,255,255
536,0.001,255,255,255
537,0.002,255,255,255
538,0.002,255,255,255
539,0.002,255,255,255
540,0.002,255,255,255
541,0.001,255,255,255
542,0.001,255,255,255
543,0.002,255,255,255
544,0.002,255,255,255
545,0.001,255,255,255
546,0.003,255,255,255
547,0.002,255,255,255
548,0.002,255,255,255
549,0.002,255,255,255
550,0.002,255,255,255
551,0.002,255,255,255
552,0.001,255,255,255
553,0.002,255,255,255
554,0.002,255,255,255
555,0.002,255,255,255
556,0.001,255,255,255
557,0.001,255,255,255
558,0.001,255,255,255
559,0.002,255,255,255
560,0.001,255,255,255
561,0.003,255,255,255
562,0.002,255,255,255
563,0.001,255,255,255
564,0.002,255,255,255
565,0.002,255,255,255
566,0.001,255,255,255
567,0.002,255,255,255
568,0.002,255,255,255
569,0.002,255,255,255
570,0.001,255,255,255
571,0.001,255,255,255
572,0.001,255,255,255
573,0.002,255,255,255
574,0.001,255,255,255
575,0.002,255,255,255
576,0.002,255,255,255
577,0.002,255,255,255
578,0.002,255,255,255
579,0.001,255,255,255
580,0.002,255,255,255
581,0.002,255,255,255
582,0.003,255,255,255
583,0.002,255,255,255
584,0.002,255,255,255
585,0.002,255,255,255
586,0.002,255,255,255
587,0.002,255,255,255
588,0.001,255,255,255
589,0.001,255,255,255
590,0.002,255,255,255
591,0.002,255,255,255
592,0.001,255,255,255
593,0.002,255,255,255
594,0.001,255,255,255
595,0.002,255,255,255
596,0.001,255,255,255
597,0.003,255,255,255
598,0.002,255,255,255
599,0.002,255,255,255
600,0.002,255,255,255
601,0.001,255,255,255
602,0.001,255,255,255
603,0.002,255,255,255
604,0.002,255,255,255
605,0.002,255,255,255
606,0.001,255,255,255
607,0.001,255,255,255
608,0.001,255,255,255
609,0.001,255,255,255
610,0.002,255,255,255
611,0.002,255,255,255
612,0.002,255,255,255
613,0.002,255,255,255
614,0.002,255,255,255
615,0.002,255,255,255
616,0.001,255,255,255
617,0.001,255,255,255
618,0.002,255,255,255
619,0.002,255,255,255
620,0.003,255,255,255
621,0.002,255,255,255
622,0.002,255,255,255
623,0.002,255,255,255
624,0.001,255,255,255
625,0.002,255,255,255
626,0.002,255,255,255
627,0.001,255,255,255
628,0.002,255,255,255
629,0.002,255,255,255
630,0.002,255,255,255
631,0.002,255,255,255
632,0.002,255,255,255
633,0.001,255,255,255
634,0.002,255,255,255
635,0.001,255,255,255
636,0.003,255,255,255
637,0.002,255,255,255
638,0.002,255,255,255
639,0.002,255,255,255
640,0.001,255,255,255
641,0.002,255,255,255
642,0.001,255,255,255
643,0.002,255,255,255
644,0.002,255,255,255
645,0.002,255,255,255
646,0.002,255,255,255
647,0.001,255,255,255
648,0.001,255,255,255
649,0.001,255,255,255
650,0.001,255,255,255
651,0.001,255,255,255
652,0.002,255,255,255
653,0.001,255,255,255
654,0.002,255,255,255
655,0.002,255,255,255
656,0.002,255,255,255
657,0.002,255,255,255
658,0.002,255,255,255
659,0.001,255,255,255
660,0.001,255,255,255
661,0.002,255,255,255
662,0.002,255,255,255
663,0.004,255,255,255
664,0.002,255,255,255
665,0.002,255,255,255
666,0.002,255,255,255
667,0.002,255,255,255
668,0.002,255,255,255
669,0.001,255,255,255
670,0.002,255,255,255
671,0.002,255,255,255
672,0.002,255,255,255
673,0.002,255,255,255
674,0.002,255,255,255
675,0.002,255,255,255
676,0.002,255,255,255
677,0.002,255,255,255
678,0.001,255,255,255
679,0.003,255,255,255
680,0.002,255,255,255
681,0.002,255,255,255
682,0.002,255,255,255
683,0.002,255,255,255
684,0.002,255,255,255
685,0.001,255,255,255
686,0.002,255,255,255
687,0.002,255,255,255
688,0.002,255,255,255
689,0.002,255,255,255
690,0.002,255,255,255
691,0.001,255,255,255
692,0.001,255,255,255
693,0.001,255,255,255
694,0.002,255,255,255
695,0.001,255,255,255
696,0.002,255,255,255
697,0.001,255,255,255
698,0.002,255,255,255
699,0.002,255,255,255
700,0.002,255,255,255
701,0.002,255,255,255
702,0.002,255,255,255
703,0.002,255,255,255
704,0.001,255,255,255
705,0.002,255,255,255
706,0.002,255,255,255
707,0.004,255,255,255
708,0.002,255,255,255
709,0.002,255,255,255
710,0.002,255,255,255
711,0.003,255,255,255
712,0.002,255,255,255
713,0.001,255,255,255
714,0.002,255,255,255
715,0.002,255,255,255
716,0.002,255,255,255
717,0.002,255,255,255
718,0.002,255,255,255
719,0.002,255,255,255
720,0.002,255,255,255
721,0.002,255,255,255
722,0.002,255,255,255
723,0.002,255,255,255
724,0.002,255,255,255
725,0.002,255,255,255
726,0.002,255,255,255
727,0.001,255,255,255
728,0.002,255,255,255
729,0.002,255,255,255
730,0.002,255,255,255
731,0.002,255,255,255
732,0.002,255,255,255
733,0.001,255,255,255
734,0.001,255,255,255
735,0.002,255,255,255
736,0.001,255,255,255
737,0.001,255,255,255
738,0.002,255,255,255
739,0.001,255,255,255
740,0.002,255,255,255
741,0.002,255,255,255
742,0.002,255,255,255
743,0.002,255,255,255
744,0.002,255,255,255
745,0.001,255,255,255
746,0.001,255,255,255
747,0.002,255,255,255
748,0.002,255,255,255
749,0.004,255,255,255
750,0.003,255,255,255
751,0.001,255,255,255
752,0.003,255,255,255
753,0.002,255,255,255
754,0.002,255,255,255
755,0.002,255,255,255
756,0.001,255,255,255
757,0.002,255,255,255
758,0.002,255,255,255
759,0.002,255,255,255
760,0.002,255,255,255
761,0.003,255,255,255
762,0.002,255,255,255
763,0.002,255,255,255
764,0.002,255,255,255
765,0.002,255,255,255
766,0.002,255,255,255
767,0.002,255,255,255
768,0.002,255,255,255
769,0.002,255,255,255
770,0.002,255,255,255
